   012141313 5    -0.0562   -0.0054   -0.0008   -0.0002    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   012141616 5    -0.0768   -0.0003    0.0001    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   013131313 5   -82.3275   -0.3314   -0.0220   -0.0040   -0.0010  -80.7818   -0.2934   -0.0165   -0.0027   -0.0006
   013131616 5     0.2381    0.0053    0.0006    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   016161616 5   -64.7126   -0.2109   -0.0044    0.0009    0.0010  -64.4819   -0.1969   -0.0021    0.0007    0.0003
   012131213 6   -81.0915   -0.2180   -0.0044    0.0002    0.0002  -80.3161   -0.2030   -0.0022    0.0007    0.0003
   012121212 7   -81.4581   -0.1392    0.0085    0.0033    0.0010  -79.8504   -0.1127    0.0120    0.0042    0.0013
   012121616 7    -0.0929   -0.0010    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   016161616 7   -64.7222   -0.1998   -0.0026    0.0006    0.0006  -64.4819   -0.1969   -0.0021    0.0007    0.0003
   016161616 9   -64.9844   -0.2036   -0.0035    0.0009    0.0020  -64.4819   -0.1969   -0.0021    0.0007    0.0003
   01616161611   -66.2892   -0.2134   -0.0088    0.0010    0.0086  -64.4819   -0.1969   -0.0021    0.0007    0.0003
   112121212 0   -81.1018   -0.1855    0.0024    0.0021    0.0007  -79.8504   -0.1127    0.0120    0.0042    0.0013
   112121313 0    -0.5463    0.0105    0.0028    0.0009    0.0003    0.0000    0.0000    0.0000    0.0000    0.0000
   112121414 0    -0.5887   -0.0276   -0.0034   -0.0007   -0.0002    0.0000    0.0000    0.0000    0.0000    0.0000
   112121515 0    -0.2720   -0.0016    0.0003    0.0002    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   112121616 0     1.6581   -0.0139   -0.0008   -0.0010   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   113131313 0   -81.8997   -0.3330   -0.0218   -0.0039   -0.0009  -80.7818   -0.2934   -0.0165   -0.0027   -0.0006
   113131414 0    -1.0953    0.0095    0.0025    0.0008    0.0002    0.0000    0.0000    0.0000    0.0000    0.0000
   113131515 0    -0.5684   -0.0222   -0.0033   -0.0008   -0.0002    0.0000    0.0000    0.0000    0.0000    0.0000
   113131616 0     0.5164    0.0102    0.0005    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   114141414 0   -79.5707   -0.3546   -0.0250   -0.0046   -0.0011  -78.9849   -0.3180   -0.0197   -0.0033   -0.0007
   114141515 0    -0.4266   -0.0152   -0.0022   -0.0005   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   114141616 0     0.6012   -0.0059   -0.0004   -0.0005    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   115151515 0   -81.9390   -0.4050   -0.0329   -0.0065   -0.0017  -80.8737   -0.3855   -0.0299   -0.0057   -0.0014
   115151616 0     0.2662    0.0008   -0.0001   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   116161616 0   -65.6095   -0.2829   -0.0127    0.0025    0.0040  -64.4819   -0.1969   -0.0021    0.0007    0.0003
   112131213 1   -80.6164   -0.2089   -0.0032    0.0005    0.0003  -80.3161   -0.2030   -0.0022    0.0007    0.0003
   112131314 1    -0.0353    0.0040    0.0007    0.0002    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   112131415 1    -0.1168   -0.0091   -0.0015   -0.0004   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   113141314 1   -80.0344   -0.3088   -0.0189   -0.0032   -0.0008  -79.8834   -0.3057   -0.0181   -0.0030   -0.0007
   113141415 1    -0.0301    0.0020    0.0003    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   114151415 1   -79.9682   -0.3468   -0.0244   -0.0045   -0.0011  -79.9293   -0.3517   -0.0248   -0.0045   -0.0011
   112121212 2   -80.2732   -0.1190    0.0114    0.0041    0.0013  -79.8504   -0.1127    0.0120    0.0042    0.0013
   112121213 2    -0.0837   -0.0064   -0.0012   -0.0003   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   112121214 2    -0.2708   -0.0135   -0.0017   -0.0003   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   112121313 2    -0.0649    0.0032    0.0007    0.0002    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   112121314 2    -0.1647   -0.0004    0.0001    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   112121315 2    -0.1602    0.0039    0.0010    0.0003    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   112121414 2    -0.2046   -0.0096   -0.0013   -0.0003   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   112121415 2     0.0912    0.0022    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   112121616 2     0.3601    0.0036    0.0007    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   112131213 2   -80.3559   -0.2119   -0.0038    0.0003    0.0002  -80.3161   -0.2030   -0.0022    0.0007    0.0003
   112131214 2     0.3077    0.0140    0.0020    0.0004    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   112131313 2     0.0875    0.0046    0.0006    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   112131314 2     0.0842    0.0012    0.0002    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   112131315 2     0.0762   -0.0040   -0.0008   -0.0002   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   112131414 2     0.0163   -0.0029   -0.0006   -0.0002    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   112131415 2    -0.1007   -0.0100   -0.0016   -0.0004   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   112131616 2    -0.2385   -0.0020   -0.0004    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   112141214 2   -79.8292   -0.2242   -0.0048    0.0003    0.0002  -79.4177   -0.2154   -0.0038    0.0004    0.0003
   112141313 2    -0.2035   -0.0063   -0.0009   -0.0002   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
