   .10000000     .00000000
  1.21910000  -38.35800000  -14.19400000
  1.22900000  -38.35200000  -13.79400000
  1.23890000  -38.34700000  -13.39000000
  1.24880000  -38.34100000  -12.98400000
  1.25870000  -38.33500000  -12.57400000
  1.26870000  -38.32900000  -12.16000000
  1.27860000  -38.32300000  -11.74400000
  1.28850000  -38.31700000  -11.32400000
  1.29840000  -38.31000000  -10.90100000
  1.30830000  -38.30400000  -10.47400000
  1.31820000  -38.29700000  -10.04400000
  1.32810000  -38.29000000   -9.61110000
  1.33800000  -38.28400000   -9.17460000
  1.34790000  -38.27700000   -8.73470000
  1.35790000  -38.26900000   -8.29150000
  1.36780000  -38.26200000   -7.84500000
  1.37770000  -38.25500000   -7.39520000
  1.38760000  -38.24700000   -6.94210000
  1.39750000  -38.24000000   -6.48570000
  1.40740000  -38.23200000   -6.02590000
  1.41730000  -38.22400000   -5.56280000
  1.42720000  -38.21600000   -5.09650000
  1.43720000  -38.20800000   -4.62680000
  1.44710000  -38.20000000   -4.15380000
  1.45700000  -38.19200000   -3.67760000
  1.46690000  -38.18300000   -3.19800000
  1.47680000  -38.17500000   -2.71520000
  1.48670000  -38.16600000   -2.22910000
  1.49660000  -38.15800000   -1.73970000
  1.50650000  -38.14900000   -1.24700000
  1.51640000  -38.14000000    -.75102000
  1.52640000  -38.13100000    -.25178000
  1.53630000  -38.12200000     .25072000
  1.54620000  -38.11300000     .75649000
  1.55610000  -38.10400000    1.26550000
  1.56600000  -38.09500000    1.77780000
  1.57590000  -38.08600000    2.29340000
  1.58580000  -38.07600000    2.81220000
  1.59570000  -38.06700000    3.33430000
  1.60560000  -38.05700000    3.85960000
  1.61560000  -38.04800000    4.38810000
  1.62550000  -38.03800000    4.91990000
  1.63540000  -38.02900000    5.45500000
  1.64530000  -38.01900000    5.99330000
  1.65520000  -38.01000000    6.53480000
  1.66510000  -38.00000000    7.07950000
  1.67500000  -37.99000000    7.62750000
  1.68490000  -37.98100000    8.17870000
  1.69480000  -37.97100000    8.73310000
  1.70480000  -37.96100000    9.29070000
  1.71470000  -37.95100000    9.85160000
  1.72460000  -37.94100000   10.41600000
  1.73450000  -37.93100000   10.98300000
  1.74440000  -37.92200000   11.55300000
  1.75430000  -37.91200000   12.12700000
  1.76420000  -37.90200000   12.70400000
  1.77410000  -37.89200000   13.28400000
   .30000000     .63383000
   .00000000  -50.16400000  -50.16400000
   .01109400  -50.16600000  -50.16400000
   .02218800  -50.16800000  -50.16000000
   .03328300  -50.16900000  -50.15100000
