   .10000000     .00000000
   .63237000  -35.00900000  -28.03100000
   .64346000  -34.89600000  -27.67100000
   .65456000  -34.78000000  -27.30400000
   .66565000  -34.66200000  -26.93000000
   .67675000  -34.54100000  -26.54900000
   .68784000  -34.41900000  -26.16300000
   .69893000  -34.29400000  -25.76900000
   .71003000  -34.16600000  -25.36900000
   .72112000  -34.03700000  -24.96200000
   .73222000  -33.90500000  -24.54900000
   .74331000  -33.77100000  -24.13000000
   .75440000  -33.63500000  -23.70400000
   .76550000  -33.49700000  -23.27100000
   .77659000  -33.35600000  -22.83200000
   .78769000  -33.21300000  -22.38600000
   .79878000  -33.06800000  -21.93400000
   .80988000  -32.92100000  -21.47600000
   .82097000  -32.77200000  -21.01100000
   .83206000  -32.62100000  -20.53900000
   .84316000  -32.46700000  -20.06200000
   .85425000  -32.31200000  -19.57700000
   .86535000  -32.15400000  -19.08700000
   .87644000  -31.99400000  -18.59000000
   .88754000  -31.83300000  -18.08700000
   .89863000  -31.66900000  -17.57700000
   .90972000  -31.50300000  -17.06100000
   .92082000  -31.33500000  -16.53900000
   .93191000  -31.16500000  -16.01000000
   .94301000  -30.99300000  -15.47500000
   .95410000  -30.81900000  -14.93400000
   .96519000  -30.64300000  -14.38700000
   .97629000  -30.46500000  -13.83300000
   .98738000  -30.28600000  -13.27300000
   .99848000  -30.10400000  -12.70700000
  1.00960000  -29.92000000  -12.13400000
  1.02070000  -29.73500000  -11.55600000
  1.03180000  -29.54700000  -10.97100000
  1.04290000  -29.35800000  -10.38000000
  1.05390000  -29.16700000   -9.78340000
  1.06500000  -28.97500000   -9.18060000
  1.07610000  -28.78000000   -8.57180000
  1.08720000  -28.58500000   -7.95720000
  1.09830000  -28.38700000   -7.33670000
  1.10940000  -28.18800000   -6.71050000
  1.12050000  -27.98800000   -6.07840000
  1.13160000  -27.78600000   -5.44070000
  1.14270000  -27.58300000   -4.79730000
  1.15380000  -27.37900000   -4.14830000
  1.16490000  -27.17300000   -3.49370000
  1.17600000  -26.96600000   -2.83360000
  1.18710000  -26.75800000   -2.16800000
  1.19820000  -26.54900000   -1.49690000
  1.20930000  -26.33800000    -.82049000
  1.22040000  -26.12700000    -.13872000
  1.23150000  -25.91500000     .54835000
  1.24250000  -25.70100000    1.24070000
  1.25360000  -25.48700000    1.93820000
  1.26470000  -25.27200000    2.64090000
  1.27580000  -25.05600000    3.34870000
  1.28690000  -24.83900000    4.06160000
  1.29800000  -24.62200000    4.77950000
  1.30910000  -24.40300000    5.50240000
  1.32020000  -24.18500000    6.23030000
  1.33130000  -23.96500000    6.96300000
  1.34240000  -23.74500000    7.70050000
  1.35350000  -23.52500000    8.44290000
  1.36460000  -23.30400000    9.19000000
  1.37570000  -23.08300000    9.94190000
  1.38680000  -22.86100000   10.69800000
  1.39790000  -22.63900000   11.45900000
  1.40900000  -22.41700000   12.22500000
  1.42010000  -22.19400000   12.99500000
  1.43120000  -21.97100000   13.77000000
  1.44220000  -21.74900000   14.54900000
  1.45330000  -21.52600000   15.33300000
  1.46440000  -21.30300000   16.12100000
  1.47550000  -21.08000000   16.91300000
  1.48660000  -20.85700000   17.70900000
  1.49770000  -20.63400000   18.51000000
  1.50880000  -20.41100000   19.31500000
  1.51990000  -20.18800000   20.12400000
  1.53100000  -19.96600000   20.93700000
  1.54210000  -19.74300000   21.75400000
  1.55320000  -19.52100000   22.57600000
  1.56430000  -19.29900000   23.40200000
  1.57540000  -19.07600000   24.23200000
  1.58650000  -18.85400000   25.06600000
  1.59760000  -18.63200000   25.90400000
  1.60870000  -18.41000000   26.74700000
  1.61980000  -18.18800000   27.59400000
  1.63080000  -17.96700000   28.44500000
  1.64190000  -17.74500000   29.30100000
  1.65300000  -17.52300000   30.16000000
  1.66410000  -17.30100000   31.02400000
  1.67520000  -17.08000000   31.89200000
  1.68630000  -16.85800000   32.76400000
  1.69740000  -16.63700000   33.64100000
