   .10000000    1.42050000
  1.00110000  -57.00000000  -36.23500000
  1.01100000  -56.88500000  -35.70700000
  1.02090000  -56.77000000  -35.17500000
  1.03080000  -56.65400000  -34.63700000
  1.04070000  -56.53800000  -34.09600000
  1.05060000  -56.42100000  -33.54900000
  1.06050000  -56.30300000  -32.99800000
  1.07040000  -56.18400000  -32.44100000
  1.08030000  -56.06500000  -31.88100000
  1.09030000  -55.94500000  -31.31500000
  1.10020000  -55.82500000  -30.74500000
  1.11010000  -55.70400000  -30.16900000
  1.12000000  -55.58100000  -29.58900000
  1.12990000  -55.45900000  -29.00400000
  1.13980000  -55.33500000  -28.41500000
  1.14970000  -55.21100000  -27.82000000
  1.15960000  -55.08600000  -27.22100000
  1.16950000  -54.96000000  -26.61600000
  1.17950000  -54.83300000  -26.00700000
  1.18940000  -54.70500000  -25.39300000
  1.19930000  -54.57700000  -24.77400000
  1.20920000  -54.44800000  -24.15000000
  1.21910000  -54.31800000  -23.52100000
  1.22900000  -54.18600000  -22.88800000
  1.23890000  -54.05500000  -22.24900000
  1.24880000  -53.92200000  -21.60500000
  1.25870000  -53.78800000  -20.95600000
  1.26870000  -53.65300000  -20.30200000
  1.27860000  -53.51800000  -19.64400000
  1.28850000  -53.38100000  -18.98000000
  1.29840000  -53.24300000  -18.31100000
  1.30830000  -53.10500000  -17.63700000
  1.31820000  -52.96500000  -16.95800000
  1.32810000  -52.82500000  -16.27400000
  1.33800000  -52.68300000  -15.58500000
  1.34790000  -52.54100000  -14.89100000
  1.35790000  -52.39700000  -14.19100000
  1.36780000  -52.25200000  -13.48700000
  1.37770000  -52.10700000  -12.77800000
  1.38760000  -51.96100000  -12.06400000
  1.39750000  -51.81300000  -11.34400000
  1.40740000  -51.66500000  -10.62000000
  1.41730000  -51.51600000   -9.89090000
  1.42720000  -51.36600000   -9.15690000
  1.43720000  -51.21600000   -8.41800000
  1.44710000  -51.06400000   -7.67420000
  1.45700000  -50.91200000   -6.92560000
  1.46690000  -50.75900000   -6.17230000
  1.47680000  -50.60600000   -5.41410000
  1.48670000  -50.45100000   -4.65120000
  1.49660000  -50.29700000   -3.88350000
  1.50650000  -50.14100000   -3.11120000
  1.51640000  -49.98500000   -2.33410000
  1.52640000  -49.82800000   -1.55240000
  1.53630000  -49.67100000    -.76603000
  1.54620000  -49.51300000     .02495200
  1.55610000  -49.35400000     .82053000
  1.56600000  -49.19500000    1.62070000
  1.57590000  -49.03600000    2.42540000
  1.58580000  -48.87600000    3.23460000
  1.59570000  -48.71600000    4.04840000
  1.60560000  -48.55500000    4.86660000
  1.61560000  -48.39400000    5.68930000
  1.62550000  -48.23200000    6.51640000
  1.63540000  -48.07000000    7.34790000
  1.64530000  -47.90800000    8.18390000
  1.65520000  -47.74600000    9.02420000
  1.66510000  -47.58300000    9.86880000
  1.67500000  -47.42000000   10.71800000
  1.68490000  -47.25700000   11.57100000
  1.69480000  -47.09300000   12.42900000
  1.70480000  -46.93000000   13.29000000
  1.71470000  -46.76600000   14.15600000
  1.72460000  -46.60200000   15.02700000
  1.73450000  -46.43800000   15.90100000
  1.74440000  -46.27400000   16.78000000
  1.75430000  -46.11000000   17.66200000
  1.76420000  -45.94600000   18.54900000
  1.77410000  -45.78100000   19.44000000
   .30000000    1.98590000
   .00000000  -87.92100000  -87.92100000
   .01109400  -87.88700000  -87.88500000
   .02218800  -87.85300000  -87.84300000
   .03328300  -87.81900000  -87.79600000
   .04437700  -87.78500000  -87.74400000
   .05547100  -87.75000000  -87.68600000
   .06656500  -87.71500000  -87.62300000
   .07765900  -87.68000000  -87.55500000
   .08875400  -87.64400000  -87.48100000
   .09984800  -87.60800000  -87.40100000
   .11094000  -87.57100000  -87.31600000
   .12204000  -87.53300000  -87.22500000
   .13313000  -87.49500000  -87.12800000
   .14422000  -87.45600000  -87.02500000
   .15532000  -87.41500000  -86.91600000
   .16641000  -87.37400000  -86.80100000
   .17751000  -87.33200000  -86.67900000
   .18860000  -87.28900000  -86.55200000
   .19970000  -87.24500000  -86.41900000
   .21079000  -87.19900000  -86.27900000
   .22188000  -87.15300000  -86.13200000
   .23298000  -87.10400000  -85.98000000
   .24407000  -87.05500000  -85.82000000
   .25517000  -87.00400000  -85.65400000
